cfg_idx,ff_scale,fb_gain,refractory,target_rate,phi_discrim,corr_sa,rest_quiet,score_delta
4,3.0,0.05,5,0.05,-0.015673457998985774,0.4561024198914214,0.1502,0.006740352102479613
5,3.0,0.05,5,0.1,0.05332616544902019,0.4856066636430349,0.2,0.019112792047761173
6,3.0,0.15,5,0.05,-0.015673457998985774,0.4561024198914214,0.1502,0.006740352102479613
7,3.0,0.15,5,0.1,0.05332616544902019,0.4856066636430349,0.2,0.019112792047761173
