step,total_score,phi,self_reference_depth,workspace_activation,cross_module_integration,information_density,level_idx,level,phi_raw_nats,phi_instant_nats,phi_causal_nats
58,0.4679966659015512,0.0,0.21102879453540904,0.6025323826503632,0.8028169014084507,0.9648070012180442,3,中等意识,0.0,0.0,0.0
59,0.4732868146728269,0.0,0.2110899505668015,0.6082940583119613,0.8028169014084507,0.9923108841025612,3,中等意识,0.0,0.0,0.0
60,0.4537344856173716,0.0,0.21257641735528301,0.6068424628600078,0.8028169014084507,0.8619155286174888,3,中等意识,0.0,0.0,0.0
61,0.44023274286556147,0.0,0.2137482356838318,0.6054198993170933,0.8028169014084507,0.7722382372245756,2,低意识,0.0,0.0,0.0
62,0.4579845860446397,0.0,0.21355042141434336,0.6112675781790646,0.8028169014084507,0.8830507056284532,3,中等意识,0.0,0.0,0.0
63,0.46848296668219824,0.0,0.21331868810685903,0.609756512329769,0.8028169014084507,0.9553636420878833,3,中等意识,0.0,0.0,0.0
64,0.4730316341776178,0.0,0.21305738468842564,0.6082756677974593,0.8028169014084507,0.988010955991671,3,中等意识,0.0,0.0,0.0
65,0.4520416172488803,0.0,0.2141577923059226,0.6068244401557958,0.8028169014084507,0.8485452698323096,3,中等意识,0.0,0.0,0.0
66,0.43836695398461695,0.0,0.21500169508963496,0.6054022370669656,0.8028169014084507,0.7581519151440445,2,低意识,0.0,0.0,0.0
67,0.45518521957752245,0.0,0.21441946975763795,0.604008478039912,0.8028169014084507,0.8729083315754823,3,中等意识,0.0,0.0,0.0
68,0.46625611786759535,0.0,0.21384641850683586,0.6026425941933995,0.8028169014084507,0.9492995669723876,3,中等意识,0.0,0.0,0.0
69,0.4712358028312028,0.0,0.21328251437657253,0.6013040280238173,0.8028169014084507,0.9850340937962309,3,中等意识,0.0,0.0,0.0
70,0.4512347587040765,0.0,0.2144977811979868,0.6079107988354702,0.8028169014084507,0.8412644161046333,3,中等意识,0.0,0.0,0.0
